cgpa,iq,placement
6.8,123,1
5.9,106,0
5.3,121,0
7.4,132,1
5.8,142,0
7.1,48,1
5.7,143,0
5,63,0
6.1,156,0
5.1,66,0
6,45,1
6.9,138,1
5.4,139,0
6.4,116,1
6.1,103,0
5.1,176,0
5.2,224,0
3.3,183,0
4,100,0
5.2,132,0
6.6,120,1
7.1,151,1
4.9,120,0
4.7,87,0
4.7,121,0
5,91,0
7,199,1
6,124,1
5.2,90,0
7,112,1
7.6,128,1
3.9,109,0
7,139,1
6,149,0
4.8,163,0
6.8,90,1
5.7,140,0
8.1,149,1
6.5,160,1
4.6,146,0
4.9,134,0
5.4,114,0
7.6,89,1
6.8,141,1
7.5,61,1
6,66,1
5.3,114,0
5.2,161,0
6.6,138,1
5.4,135,0
3.5,233,0
4.8,141,0
7,175,1
8.3,168,1
6.4,141,1
7.8,114,1
6.1,65,0
6.5,130,1
8,79,1
4.8,112,0
6.9,139,1
7.3,137,1
6,102,0
6.3,128,1
7,64,1
8.1,166,1
6.9,96,1
5,118,0
4,75,0
8.5,120,1
6.3,127,1
6.1,132,1
7.3,116,1
4.9,61,0
6.7,154,1
4.8,169,0
4.9,155,0
7.3,50,1
6.1,81,0
6.5,90,1
4.9,196,0
5.4,107,0
6.5,37,1
7.5,130,1
5.7,169,0
5.8,166,1
5.1,128,0
5.7,132,1
4.4,149,0
4.9,151,0
7.3,86,1
7.5,158,1
5.2,110,0
6.8,112,1
4.7,52,0
4.3,200,0
4.4,42,0
6.7,182,1
6.3,103,1
6.2,113,1
